0.000211107, 1.55, 5.35, 5.35, 7.755e-06, 1, -nan, 0
0.000162372, 0.95, 4.45, 4.45, 5.449e-06, 1, -nan, 0
0.000207749, 1.45, 4.7, 4.7, 1.2247e-05, 2, 16.5, 2
0.00033641, 1.85, 7.2, 7.1, 2.6005e-05, 4, 48.1667, 6
0.000182371, 1.4, 4.45, 4.45, 6.758e-06, 2, 17, 2
0.000711553, 1.3, 4.6, 4.4, 7.0336e-05, 21, 17.9, 40
0.000216168, 1.6, 4.1, 4, 1.0647e-05, 2, 33.5, 2
0.000206461, 1.05, 4.05, 4.05, 1.1025e-05, 2, 6.5, 2
0.000216202, 1.15, 4.5, 4.5, 9.873e-06, 1, -nan, 0
0.000205099, 1.25, 3.8, 3.8, 6.493e-06, 1, -nan, 0
0.000263953, 1.3, 4.1, 4.1, 1.1515e-05, 3, 10.5, 4
0.00708298, 1.55, 6.05, 5.85, 0.000621629, 222, 18.2081, 442
0.000934597, 1.1, 4.8, 4.55, 5.8871e-05, 34, 22.8788, 66
0.000213684, 1.4, 5.25, 5.25, 1.2938e-05, 3, 17.25, 4
0.000165094, 1.45, 5.25, 5.25, 6.615e-06, 1, -nan, 0
0.000246336, 1.15, 5.05, 5, 1.1564e-05, 6, 13.5, 10
0.000247215, 1.5, 5.85, 5.75, 1.6997e-05, 4, 19.6667, 6
0.000364956, 1.2, 4.05, 3.95, 1.8234e-05, 14, 14.1154, 26
0.000205368, 1.65, 6.35, 6.35, 1.273e-05, 2, 25.5, 2
0.000277677, 1.1, 4.45, 4.45, 2.1625e-05, 6, 14, 10
0.00135509, 1.15, 4.95, 4.8, 0.000142219, 54, 19.9528, 106
0.000272382, 1.15, 4.5, 4.4, 1.7728e-05, 8, 11.7857, 14
0.459176, 1.75, 7.25, 6.6, 0.0185908, 14804, 22.9894, 29606
0.00198165, 1.45, 4.9, 4.65, 0.000231842, 74, 17.7123, 146
0.000158522, 1.05, 4.35, 4.35, 5.957e-06, 1, -nan, 0
30, 1.75, 5.6, 5.25, 0.632672, 666765, 26.9667, 1333528
0.000367562, 1.85, 6.6, 6.5, 2.3503e-05, 7, 25.5, 12
0.000154441, 0.55, 2.75, 2.75, 4.725e-06, 1, -nan, 0
0.000518921, 1.35, 4.9, 4.75, 3.3441e-05, 9, 29.4375, 16
0.000295398, 1.05, 3.5, 3.4, 2.5916e-05, 8, 14, 14
0.000955461, 1.6, 5.2, 5.2, 6.396e-05, 23, 30.0227, 44
0.000216128, 0.95, 3.9, 3.9, 1.143e-05, 4, 11.1667, 6
0.000262351, 1.75, 6.25, 6.2, 2.3777e-05, 6, 10.4, 10
0.000247741, 1.05, 4.75, 4.75, 1.0833e-05, 3, 14.75, 4
0.000187288, 1.25, 3.3, 3.3, 6.536e-06, 1, -nan, 0
0.000230626, 1.4, 5.4, 5.4, 1.5406e-05, 4, 13.5, 6
0.000827756, 1.05, 4.8, 4.75, 0.000105067, 33, 15.6094, 64
0.000174, 1.4, 5.15, 5.15, 7.697e-06, 1, -nan, 0
0.000326167, 1.3, 5.1, 4.8, 2.5469e-05, 7, 20.5833, 12
0.000396668, 1.4, 4.05, 4, 4.3154e-05, 11, 16.9, 20
1.68727, 2.1, 7.35, 6.75, 0.17548, 50214, 29.8611, 100426
0.000183351, 1.45, 5.55, 5.55, 7.984e-06, 1, -nan, 0
0.000344882, 1, 3.85, 3.5, 2.0483e-05, 7, 33.5833, 12
0.00027363, 1.3, 3.95, 3.85, 2.6002e-05, 11, 9.95, 20
0.000168957, 1.45, 3.3, 3.3, 6.532e-06, 2, 11.5, 2
0.000238005, 1.9, 7.5, 7.4, 2.2813e-05, 4, 18, 6
0.000201731, 1.45, 5.2, 5.2, 1.4954e-05, 3, 13, 4
30, 1.6, 6.7, 6.15, 2.33696, 937684, 23.7923, 1875366
30, 1.85, 8, 7.75, 3.25604, 391881, 32.5142, 783760
0.000295557, 1.2, 5.5, 5.35, 2.0282e-05, 7, 13.9167, 12
0.000336828, 1.25, 4.85, 4.7, 3.1831e-05, 12, 8.5, 22
0.000207914, 1.25, 4.4, 4.3, 1.1258e-05, 2, 17, 2
0.000318267, 1.15, 3.8, 3.75, 2.49e-05, 9, 12.25, 16
0.000254409, 1.5, 5.6, 5.6, 1.8188e-05, 3, 18, 4
0.000243037, 1.4, 4.55, 4.5, 1.5628e-05, 4, 11.8333, 6
0.000474689, 1.5, 4.7, 4.6, 4.737e-05, 10, 20.7222, 18
0.000221615, 1.25, 4.15, 4.15, 7.2e-06, 1, -nan, 0
0.000247184, 1.65, 5.6, 5.5, 1.434e-05, 3, 21.25, 4
0.000444918, 1, 3.05, 3, 4.6536e-05, 16, 12.2333, 30
0.000292626, 1.45, 5.4, 5.3, 2.0257e-05, 6, 12.4, 10
0.000232716, 1.45, 5.4, 5.35, 1.3033e-05, 2, 12.5, 2
0.000305617, 1.95, 3.45, 3.45, 1.6603e-05, 3, 41, 4
0.00230516, 1.3, 4.95, 4.75, 0.000278413, 79, 17.1795, 156
30.0001, 1.85, 6.35, 6.15, 0.579082, 477349, 37.8563, 954696
0.000498024, 1.2, 3.6, 3.45, 4.833e-05, 15, 20.2857, 28
0.000177107, 1.4, 5.35, 5.35, 8.419e-06, 1, -nan, 0
30, 1.5, 5.5, 4.75, 2.52939, 556620, 36.9174, 1113238
0.0515723, 1.25, 3.85, 3.55, 0.00132173, 1279, 28.0129, 2556
0.000186861, 0.95, 4.3, 4.3, 7.651e-06, 2, 10, 2
30, 1.5, 5.15, 4.85, 1.43144, 601244, 27.7217, 1202486
0.0618617, 1.35, 4.15, 3.75, 0.00154411, 1823, 28.1457, 3644
0.000228093, 1.55, 5.05, 5, 1.1743e-05, 4, 10, 6
0.000441598, 1.5, 6.3, 6, 6.0929e-05, 11, 17.45, 20
0.000202744, 1.6, 4.9, 4.9, 1.0075e-05, 2, 17, 2
0.00016354, 1, 3.7, 3.7, 5.561e-06, 1, -nan, 0
0.600874, 1.55, 5.65, 5.3, 0.0490569, 18002, 23.4279, 36002
0.000261401, 1.45, 5.65, 5.6, 1.9388e-05, 4, 16, 6
0.000171219, 1.35, 3.75, 3.75, 5.44e-06, 1, -nan, 0
0.00344356, 1.55, 5.9, 5.8, 0.000264642, 106, 23.9143, 210
0.000217388, 1.4, 4.55, 4.55, 1.2252e-05, 3, 14.5, 4
0.000401392, 0.95, 3.05, 2.85, 3.3228e-05, 13, 14.75, 24
0.00018656, 0.8, 3.45, 3.45, 7.771e-06, 2, 10, 2
0.000248303, 1.2, 5.6, 5.6, 1.2428e-05, 4, 13.6667, 6
0.000375854, 1.35, 5.25, 5.25, 2.631e-05, 4, 18, 6
0.000220958, 0.95, 3.8, 3.8, 1.1338e-05, 3, 16.5, 4
0.000164048, 1.15, 2.95, 2.95, 5.033e-06, 1, -nan, 0
0.000406928, 1.4, 3.6, 3.5, 2.4186e-05, 5, 37.125, 8
0.000204191, 1.35, 4.55, 4.55, 1.3226e-05, 2, 8.5, 2
0.000181677, 1.55, 4.45, 4.45, 6.596e-06, 1, -nan, 0
0.000248112, 1.2, 3.7, 3.7, 1.2938e-05, 3, 32.5, 4
0.00018119, 1.75, 4.75, 4.75, 6.524e-06, 1, -nan, 0
0.0002172, 0.65, 3.05, 3.05, 1.2041e-05, 3, 14.75, 4
0.000232708, 0.95, 4.45, 4.45, 1.599e-05, 4, 13.1667, 6
0.00198803, 1.05, 3.85, 3.75, 0.000330049, 89, 13.5284, 176
0.000257024, 1.1, 4.2, 4.2, 1.5888e-05, 4, 17.3333, 6
0.000190758, 0.95, 3.7, 3.7, 7.222e-06, 2, 13.5, 2
0.000304983, 1.45, 4.65, 4.65, 2.426e-05, 5, 21.5, 8
0.000213869, 1.1, 3, 3, 7.305e-06, 2, 33.5, 2
0.000218842, 1.1, 4.9, 4.9, 1.1681e-05, 3, 14, 4
0.000186979, 1.25, 4.25, 4.25, 7.065e-06, 1, -nan, 0
